PING 192.168.4.2 (192.168.4.2) 56(84) bytes of data.
64 bytes from 192.168.4.2: icmp_seq=177 ttl=255 time=20.2 ms
64 bytes from 192.168.4.2: icmp_seq=178 ttl=255 time=19.1 ms
64 bytes from 192.168.4.2: icmp_seq=179 ttl=255 time=18.2 ms
64 bytes from 192.168.4.2: icmp_seq=180 ttl=255 time=17.1 ms
64 bytes from 192.168.4.2: icmp_seq=181 ttl=255 time=20.9 ms
64 bytes from 192.168.4.2: icmp_seq=182 ttl=255 time=19.9 ms
64 bytes from 192.168.4.2: icmp_seq=183 ttl=255 time=18.7 ms
64 bytes from 192.168.4.2: icmp_seq=184 ttl=255 time=17.7 ms
64 bytes from 192.168.4.2: icmp_seq=185 ttl=255 time=21.1 ms
64 bytes from 192.168.4.2: icmp_seq=186 ttl=255 time=20.1 ms
64 bytes from 192.168.4.2: icmp_seq=187 ttl=255 time=19.2 ms
64 bytes from 192.168.4.2: icmp_seq=188 ttl=255 time=18.2 ms
64 bytes from 192.168.4.2: icmp_seq=189 ttl=255 time=17.2 ms
64 bytes from 192.168.4.2: icmp_seq=190 ttl=255 time=21.1 ms
64 bytes from 192.168.4.2: icmp_seq=191 ttl=255 time=20.2 ms
64 bytes from 192.168.4.2: icmp_seq=192 ttl=255 time=19.2 ms
64 bytes from 192.168.4.2: icmp_seq=193 ttl=255 time=18.2 ms
64 bytes from 192.168.4.2: icmp_seq=194 ttl=255 time=17.2 ms
64 bytes from 192.168.4.2: icmp_seq=195 ttl=255 time=21.2 ms
64 bytes from 192.168.4.2: icmp_seq=196 ttl=255 time=20.1 ms
64 bytes from 192.168.4.2: icmp_seq=197 ttl=255 time=19.0 ms
64 bytes from 192.168.4.2: icmp_seq=198 ttl=255 time=18.2 ms
64 bytes from 192.168.4.2: icmp_seq=199 ttl=255 time=17.1 ms
64 bytes from 192.168.4.2: icmp_seq=200 ttl=255 time=21.2 ms
64 bytes from 192.168.4.2: icmp_seq=201 ttl=255 time=20.2 ms
64 bytes from 192.168.4.2: icmp_seq=202 ttl=255 time=18.9 ms
64 bytes from 192.168.4.2: icmp_seq=203 ttl=255 time=17.2 ms
64 bytes from 192.168.4.2: icmp_seq=204 ttl=255 time=21.0 ms
64 bytes from 192.168.4.2: icmp_seq=205 ttl=255 time=19.1 ms
64 bytes from 192.168.4.2: icmp_seq=206 ttl=255 time=18.0 ms
64 bytes from 192.168.4.2: icmp_seq=207 ttl=255 time=17.2 ms
64 bytes from 192.168.4.2: icmp_seq=208 ttl=255 time=20.9 ms
64 bytes from 192.168.4.2: icmp_seq=209 ttl=255 time=19.0 ms
64 bytes from 192.168.4.2: icmp_seq=210 ttl=255 time=17.9 ms
64 bytes from 192.168.4.2: icmp_seq=211 ttl=255 time=21.2 ms
64 bytes from 192.168.4.2: icmp_seq=212 ttl=255 time=20.2 ms
64 bytes from 192.168.4.2: icmp_seq=213 ttl=255 time=19.1 ms
64 bytes from 192.168.4.2: icmp_seq=214 ttl=255 time=18.1 ms
64 bytes from 192.168.4.2: icmp_seq=215 ttl=255 time=17.2 ms
64 bytes from 192.168.4.2: icmp_seq=216 ttl=255 time=16.8 ms
64 bytes from 192.168.4.2: icmp_seq=217 ttl=255 time=20.1 ms
64 bytes from 192.168.4.2: icmp_seq=218 ttl=255 time=19.2 ms
64 bytes from 192.168.4.2: icmp_seq=219 ttl=255 time=18.2 ms
64 bytes from 192.168.4.2: icmp_seq=220 ttl=255 time=17.2 ms
64 bytes from 192.168.4.2: icmp_seq=221 ttl=255 time=20.9 ms
64 bytes from 192.168.4.2: icmp_seq=222 ttl=255 time=20.1 ms
64 bytes from 192.168.4.2: icmp_seq=223 ttl=255 time=19.1 ms
64 bytes from 192.168.4.2: icmp_seq=224 ttl=255 time=18.2 ms
64 bytes from 192.168.4.2: icmp_seq=225 ttl=255 time=16.9 ms
64 bytes from 192.168.4.2: icmp_seq=226 ttl=255 time=20.1 ms
64 bytes from 192.168.4.2: icmp_seq=227 ttl=255 time=19.1 ms
64 bytes from 192.168.4.2: icmp_seq=228 ttl=255 time=18.2 ms
64 bytes from 192.168.4.2: icmp_seq=229 ttl=255 time=16.9 ms
64 bytes from 192.168.4.2: icmp_seq=230 ttl=255 time=20.1 ms
64 bytes from 192.168.4.2: icmp_seq=231 ttl=255 time=18.9 ms
64 bytes from 192.168.4.2: icmp_seq=232 ttl=255 time=17.0 ms
64 bytes from 192.168.4.2: icmp_seq=233 ttl=255 time=21.1 ms
64 bytes from 192.168.4.2: icmp_seq=234 ttl=255 time=20.0 ms
64 bytes from 192.168.4.2: icmp_seq=235 ttl=255 time=18.0 ms
64 bytes from 192.168.4.2: icmp_seq=236 ttl=255 time=17.0 ms
64 bytes from 192.168.4.2: icmp_seq=237 ttl=255 time=20.0 ms
64 bytes from 192.168.4.2: icmp_seq=238 ttl=255 time=19.2 ms
64 bytes from 192.168.4.2: icmp_seq=239 ttl=255 time=18.0 ms
64 bytes from 192.168.4.2: icmp_seq=240 ttl=255 time=17.2 ms
64 bytes from 192.168.4.2: icmp_seq=241 ttl=255 time=20.9 ms
64 bytes from 192.168.4.2: icmp_seq=242 ttl=255 time=18.9 ms
64 bytes from 192.168.4.2: icmp_seq=243 ttl=255 time=17.1 ms
64 bytes from 192.168.4.2: icmp_seq=244 ttl=255 time=16.7 ms
64 bytes from 192.168.4.2: icmp_seq=245 ttl=255 time=20.1 ms
64 bytes from 192.168.4.2: icmp_seq=246 ttl=255 time=19.1 ms
64 bytes from 192.168.4.2: icmp_seq=247 ttl=255 time=18.0 ms
64 bytes from 192.168.4.2: icmp_seq=248 ttl=255 time=17.1 ms
64 bytes from 192.168.4.2: icmp_seq=249 ttl=255 time=21.0 ms
64 bytes from 192.168.4.2: icmp_seq=250 ttl=255 time=19.1 ms
64 bytes from 192.168.4.2: icmp_seq=251 ttl=255 time=18.1 ms
64 bytes from 192.168.4.2: icmp_seq=252 ttl=255 time=16.9 ms
64 bytes from 192.168.4.2: icmp_seq=253 ttl=255 time=20.0 ms
64 bytes from 192.168.4.2: icmp_seq=254 ttl=255 time=19.1 ms
64 bytes from 192.168.4.2: icmp_seq=255 ttl=255 time=17.9 ms
